Артикул	Наименование товара	Розничные	Оптовые	Дилерские	Спец.	Ед.изм.	
"01 Панели пластиковые. 01 Панели пластик ""Люкс"" 0,167 х 2,7 м,  цены в EUR"							
							
10802	Профиль 100 P2 (6 м)	0,40	0,34	0,30	0,23	м.п.	
10807	Профиль 101 P1 (6 м)	0,48	0,42	0,37	0,25	м.п.	
10808	Профиль 101 P2 (6 м)	0,48	0,42	0,37	0,25	м.п.	
10860	Профиль 101/111-II P1 (3м)	0,37	0,34	0,32	0,28	м.п.	
10815	Профиль 103 P1	0,76	0,66	0,60	0,49	м.п.	
10816	Профиль 103 P2	0,76	0,66	0,60	0,49	м.п.	
10862	Профиль 105-4-II P1 (3м)	0,64	0,56	0,47	0,42	м.п.
10835	Профиль 111 Р1 (6 м)	0,48	0,42	0,37	0,25	м.п.
10836	Профиль 111 Р2 (6 м)	0,48	0,42	0,37	0,25	м.п.
10861	Профиль 112-II P1 (3м)	0,25	0,20	0,20	0,20	м.п.
10837	Профиль 112 P1	0,50	0,44	0,40	0,28	м.п.
10838	Профиль 112 P2 (6 м)	0,50	0,44	0,40	0,28	м.п.
						
01 Панели пластиковые. 01 Углы к пластиковым профилям,  цены в $						
						
10857	Угол внутренний к профилю 112 Р1	0,25	0,22	0,20	0,18	шт
10858	Угол внутренний к профилю 112 Р2	0,25	0,22	0,20	0,18	шт
10873	Угол наружный к профилю 112 Р1	0,25	0,22	0,20	0,18	шт
10874	Угол наружный к профилю 112 Р2	0,25	0,22	0,20	0,18	шт
						
"03 Панели MDF ""Кроноспан"". 03 MDF ""Кроноспан"" панели,  цены в $"						
						
16326	Панели MDF Береза Даурская	3,50	3,30	3,10	2,90	м2
16319	Панели MDF Бук 200х2730 мм	4,36	4,14	3,91	3,66	м2
16333	Панели MDF Бук поморский	3,50	3,30	3,10	2,90	м2
16301	Панели MDF Бук_	3,50	3,30	3,10	2,90	м2
16260	Панели MDF Вишня	3,50	3,30	3,10	2,90	м2
16330	Панели MDF Груша	3,50	3,30	3,10	2,90	м2
16318	Панели MDF Дуб 200х2730 мм	4,36	4,14	3,91	3,66	м2
16322	Панели MDF Дуб Seledyn	3,50	3,30	3,10	2,90	м2
16325	Панели MDF Дуб Вигры	3,50	3,30	3,10	2,90	м2
16321	Панели MDF Дуб Перламутр 200х2730 мм	4,36	4,14	3,91	3,66	м2
16303	Панели MDF Дуб Перламутр_	3,50	3,30	3,10	2,90	м2
16334	Панели MDF Дуб Розовый	3,50	3,30	3,10	2,90	м2
16365	Панели MDF Дуб Светлый	3,50	3,30	3,10	2,90	м2
16362	Панели MDF Дуб Сучковатый Светлый	3,50	3,30	3,10	2,90	м2
16312	Панели MDF Дуб Сучковатый_	3,50	3,30	3,10	2,90	м2
16302	Панели MDF Дуб_	3,50	3,30	3,10	2,90	м2
16364	Панели MDF Ель	3,50	3,30	3,10	2,90	м2
16305	Панели MDF Классика белая	3,50	3,30	3,10	2,90	м2
16337	Панели MDF Классика белая 200х2730 мм	4,36	4,14	3,91	3,66	м2
16259	Панели MDF Клен	3,50	3,30	3,10	2,90	м2
16366	Панели MDF Клен абрикосовый	3,50	3,30	3,10	2,90	м2
16332	Панели MDF Клен голубой	3,50	3,30	3,10	2,90	м2
16331	Панели MDF Клен зеленый	3,50	3,30	3,10	2,90	м2
16315	Панели MDF Марс Бежевый	4,80	4,56	4,30	4,03	м2
16316	Панели MDF Марс Голубой	4,80	4,56	4,30	4,03	м2
16317	Панели MDF Марс Морской	4,80	4,56	4,30	4,03	м2
16306	Панели MDF Махонь	3,50	3,30	3,10	2,90	м2
16338	Панели MDF Махонь 200х2730 мм	4,36	4,14	3,91	3,66	м2
16307	Панели MDF Мрамор	3,50	3,30	3,10	2,90	м2
16339	Панели MDF Мрамор 200х2730 мм	4,36	4,14	3,91	3,66	м2
16336	Панели MDF Мрамор Голубой	3,50	3,30	3,10	2,90	м2
16329	Панели MDF Мрамор Каррара бронз.	3,50	3,30	3,10	2,90	м2
16324	Панели MDF Мрамор Розовый	3,50	3,30	3,10	2,90	м2
16328	Панели MDF Ольха Таурская	3,50	3,30	3,10	2,90	м2
16862	Панели MDF Рубин	3,50	3,30	3,10	2,90	м2
16335	Панели MDF Сосна	3,50	3,30	3,10	2,90	м2
16340	Панели MDF Сосна Голубая	3,50	3,30	3,10	2,90	м2
16361	Панели MDF Сосна Сучковатая	3,50	3,30	3,10	2,90	м2
16327	Панели MDF Чечет Перламутр	3,50	3,30	3,10	2,90	м2
16863	Панели MDF Янтарь	3,50	3,30	3,10	2,90	м2
16323	Панели MDF Ясень 200х2730 мм	4,36	4,14	3,91	3,66	м2
16320	Панели MDF Ясень Арктика 200х2730 мм	4,36	4,14	3,91	3,66	м2
16313	Панели MDF Ясень Белый (Арктика)	3,50	3,30	3,10	2,90	м2
16363	Панели MDF Ясень Лосось	3,50	3,30	3,10	2,90	м2
16310	Панели MDF Ясень Серый	3,50	3,30	3,10	2,90	м2
16308	Панели MDF Ясень_	3,50	3,30	3,10	2,90	м2
						
